0, 20000, 0.000000, 1.000000
1, 40000, 0.000000, 2.000000
2, 60000, 0.200000, 3.000000
3, 80000, 0.466667, 3.966667
4, 100000, 0.900000, 5.000000
5, 120000, 0.966667, 5.966667
6, 140000, 1.200000, 7.000000
7, 160000, 1.433333, 8.000000
8, 180000, 1.600000, 9.000000
9, 200000, 1.566667, 10.233333
10, 220000, 1.733333, 11.266667
11, 240000, 2.466667, 12.566667
12, 260000, 2.766667, 13.833333
13, 280000, 2.833333, 14.866667
14, 300000, 3.133333, 16.000000
15, 320000, 2.800000, 17.033333
16, 340000, 2.900000, 17.933333
17, 360000, 3.633333, 19.000000
18, 380000, 3.366667, 20.200000
19, 400000, 4.433333, 21.233333
20, 420000, 4.333333, 22.266667
21, 440000, 3.966667, 23.466667
22, 460000, 5.500000, 24.400000
23, 480000, 4.733333, 25.600000
24, 500000, 4.233333, 26.533333
25, 520000, 5.133333, 27.666667
26, 540000, 5.566667, 28.800000
27, 560000, 5.133333, 29.800000
28, 580000, 5.533333, 30.800000
29, 600000, 5.233333, 32.066667
30, 620000, 6.133333, 33.066667
31, 640000, 5.966667, 34.166667
32, 660000, 8.133333, 35.266667
33, 680000, 7.633333, 36.400000
34, 700000, 7.400000, 37.266667
35, 720000, 7.166667, 38.466667
36, 740000, 7.700000, 39.766667
37, 760000, 8.366667, 40.633333
38, 780000, 8.033333, 42.033333
39, 800000, 8.033333, 42.833333
40, 820000, 9.266667, 43.900000
41, 840000, 9.766667, 45.433333
42, 860000, 9.833333, 46.100000
43, 880000, 9.433333, 47.133333
44, 900000, 8.966667, 48.166667
45, 920000, 10.166667, 49.266667
46, 940000, 9.000000, 50.566667
47, 960000, 10.100000, 51.500000
48, 980000, 9.966667, 52.833333
49, 1000000, 10.000000, 53.900000
