20000, 3, 288.7, 128.65
40000, 8.15, 323.685, 139.733
60000, 13.8575, 332.284, 138.337
80000, 20.6429, 507.414, 120.317
100000, 28.1821, 487.771, 158.516
120000, 36.8091, 462.439, 149.126
140000, 46.9405, 611.772, 204.056
160000, 58.047, 499.639, 145.803
180000, 70.0024, 520.232, 160.44
200000, 82.5001, 494.662, 158.672
220000, 95.425, 499.533, 169.934
240000, 109.471, 541.777, 150.697
260000, 123.624, 542.739, 143.885
280000, 138.231, 564.337, 131.794
300000, 153.062, 522.467, 145.19
320000, 167.653, 519.673, 152.859
340000, 182.783, 585.834, 181.143
360000, 198.789, 572.592, 166.907
380000, 214.239, 572.03, 165.695
400000, 230.312, 555.551, 190.185
420000, 246.616, 512.328, 167.959
440000, 262.981, 544.516, 173.398
460000, 279.699, 618.676, 181.67
480000, 296.085, 602.484, 166.633
500000, 313.604, 613.374, 162.182
520000, 329.48, 609.819, 155.109
540000, 347.524, 550.741, 171.005
560000, 364.626, 635.387, 184.7
580000, 382.631, 585.619, 176.385
600000, 400.982, 635.031, 166.769
620000, 419.149, 619.352, 186.338
640000, 438.007, 706.768, 171.017
660000, 460.2, 763.138, 178.751
680000, 479.36, 789.957, 179.138
700000, 497.868, 768.948, 182.107
720000, 516.543, 807.547, 182.305
740000, 535.427, 787.777, 193.165
760000, 554.171, 793.539, 178.508
780000, 573.759, 770.027, 173.275
800000, 592.988, 838.601, 175.014
820000, 613.099, 791.53, 194.651
840000, 632.555, 738.327, 179.583
860000, 652.728, 806.616, 168.929
880000, 671.486, 789.181, 195.896
900000, 691.274, 824.059, 193.095
920000, 709.414, 1476, 166.005
940000, 725.921, 890.65, 176.75
960000, 746.346, 868.933, 192.588
980000, 765.867, 891.297, 186.079
1000000, 785.793, 873.015, 178.404
