30000, 5, 196.967, 184.267
60000, 12.4333, 314.199, 164.709
90000, 20.5811, 277.073, 216.29
120000, 28.686, 318.669, 274.643
150000, 38.8562, 359.222, 334.121
180000, 49.8285, 393.507, 432.304
210000, 62.6276, 921.117, 552.81
240000, 77.9209, 674.004, 576.327
270000, 91.064, 550.133, 551.844
300000, 107.802, 686.171, 661.928
330000, 126.127, 636.472, 633.731
360000, 144.271, 657.316, 665.958
390000, 166.209, 729.977, 690.999
420000, 182.974, 1173.03, 692.733
450000, 203.566, 758.201, 702.191
480000, 225.019, 663.607, 713.14
510000, 246.334, 767.387, 726.638
540000, 268.644, 805.113, 748.255
570000, 290.021, 1059.1, 792.708
600000, 312.567, 660.97, 829.09
630000, 335.852, 789.866, 812.536
660000, 358.695, 1674.6, 803.451
690000, 382.69, 805.32, 801.448
720000, 406.69, 802.744, 786.748
750000, 430.023, 925.825, 853.658
