40000, 8, 2, 0, 21
80000, 17, 6, 0, 24
120000, 26, 9, 0, 24
160000, 36, 12, 0, 26
200000, 47, 16, 0, 25
240000, 58, 20, 0, 26
280000, 74, 24, 0, 26
320000, 84, 29, 1, 27
360000, 99, 34, 1, 26
400000, 112, 37, 1, 26
440000, 127, 43, 1, 26
480000, 144, 52, 1, 28
520000, 158, 61, 2, 29
560000, 176, 64, 2, 28
600000, 191, 65, 2, 28
640000, 206, 66, 2, 28
680000, 222, 73, 2, 29
720000, 238, 80, 2, 28
760000, 255, 82, 2, 29
800000, 272, 91, 3, 28
840000, 289, 89, 3, 28
880000, 306, 97, 3, 29
920000, 323, 109, 3, 29
960000, 339, 117, 3, 30
1000000, 377, 116, 4, 29
1040000, 416, 128, 4, 29
1080000, 415, 128, 4, 29
1120000, 450, 143, 4, 29
1160000, 437, 131, 4, 29
1200000, 455, 145, 4, 29
1240000, 471, 158, 5, 31
1280000, 503, 165, 5, 29
1320000, 544, 169, 5, 29
1360000, 526, 155, 5, 29
1400000, 539, 175, 5, 31
1440000, 563, 165, 5, 29
1480000, 580, 184, 6, 30
1520000, 596, 185, 6, 30
1560000, 622, 194, 6, 30
1600000, 651, 202, 6, 30
